1	3.926691	10.152195	14.078886
1	3.843905	10.842642	14.686547
1	3.666940	10.148363	13.815303
1	3.831236	10.620141	14.451377
1	4.062316	12.956192	17.018508
1	4.553835	13.156326	17.710161
1	4.525291	12.163690	16.688981
1	4.501932	12.913626	17.415558
1	4.526233	12.138538	16.664771
1	4.536527	17.880102	22.416629
1	4.571132	17.904199	22.475331
1	4.592460	18.355613	22.948073
1	4.568180	17.721270	22.289450
1	4.523623	18.069940	22.593563
1	4.558305	18.302819	22.861124
1	4.785641	18.048138	22.833779
1	5.041102	18.181271	23.222373
1	4.578780	12.976368	17.555148
